 Diffraction intensities for potential:3x3MoS210001.in                         
#    -17    -9       1.5461325099E-004
#    -17    -8       2.7184385532E-004
#    -17    -7       2.4265488066E-004
#    -17    -6       2.7476570821E-004
#    -17    -5       2.0952796911E-004
#    -17    -4       1.0445551647E-004
#    -17    -3       1.1284842143E-004
#    -17    -2       9.2461188968E-005
#    -17    -1       6.8668711426E-005
#    -17     0       5.3616893442E-005
#    -17     1       5.4185209696E-005
#    -17     2       4.8042214206E-005
#    -17     3       9.3974046820E-005
#    -17     4       1.1143421671E-004
#    -17     5       4.8470873185E-005
#    -17     6       7.0889050618E-005
#    -17     7       2.1616906989E-004
#    -17     8       2.9850612577E-004
#    -17     9       2.8576825630E-004
#    -17    10       5.4555530571E-005
#    -17    11       3.1700426258E-005
#    -17    12       2.9949883891E-005
#    -17    13       2.7950177561E-004
#    -17    14       3.4733429635E-004
#    -17    15       5.9318387500E-004
#    -17    16       9.5550647482E-005
#    -16   -10       1.7032791201E-004
#    -16    -9       2.2439328083E-004
#    -16    -8       2.2651056893E-004
#    -16    -7       3.0504561236E-004
#    -16    -6       2.8358290021E-004
#    -16    -5       1.1777731821E-004
#    -16    -4       7.8097927101E-005
#    -16    -3       4.5895821190E-005
#    -16    -2       2.3216873688E-005
#    -16    -1       5.4114586848E-005
#    -16     0       1.1455292812E-004
#    -16     1       4.9599537566E-005
#    -16     2       6.7707628816E-005
#    -16     3       2.0035286246E-004
#    -16     4       2.3487206356E-004
#    -16     5       1.9972059369E-004
#    -16     6       2.9175527730E-004
#    -16     7       3.6205412921E-004
#    -16     8       3.4456864236E-004
#    -16     9       1.9524544102E-004
#    -16    10       4.9607527163E-005
#    -16    11       2.8120574217E-005
#    -16    12       4.9210189727E-005
#    -16    13       6.3607606857E-005
#    -16    14       2.1515751534E-004
#    -16    15       1.1151863099E-004
#    -16    16       2.5002176737E-004
#    -15   -11       2.2527972451E-004
#    -15   -10       2.6201885843E-004
#    -15    -9       2.6978114171E-004
#    -15    -8       3.7957369789E-004
#    -15    -7       3.0266521176E-004
#    -15    -6       4.4200201032E-004
#    -15    -5       6.0319620654E-005
#    -15    -4       2.7482845638E-005
#    -15    -3       8.0154531504E-004
#    -15    -2       4.7931698280E-005
#    -15    -1       4.9542369593E-005
#    -15     0       2.5013150262E-003
#    -15     1       5.0814231552E-005
