,z,theta,DK,signal
0,1.24,57.251180423399376,14.896415909252882,0.030647999999999988
1,1.3399999999999999,55.67894719653514,13.210520700139073,0.030703599999999998
2,1.44,54.090276920822326,11.436758095297073,0.032313999999999954
3,1.54,52.48738819714364,9.576944027982899,0.03330480000000004
4,1.64,50.87262828106681,7.633553028083192,0.033860400000000034
5,1.74,49.2484545293613,5.609714412370875,0.03566560000000002
6,1.8399999999999999,47.61741336326445,3.5091952242754623,0.03542319999999999
7,1.94,45.98211716322419,1.3363698058431763,0.035499199999999995
8,2.04,44.345219597732296,-0.9038235911749806,0.03667239999999997
9,2.14,42.70938995736147,-3.2059382214377785,0.036652399999999974
10,2.2399999999999998,41.077287109489525,-5.564084860848075,0.03652600000000002
11,2.34,39.45153370628194,-7.972006561829285,0.03585440000000002
12,2.44,37.83469126708408,-10.42315995454621,0.03534759999999998
13,2.54,36.229236717267845,-12.910800678132837,0.03466360000000003
14,2.6399999999999997,34.637540901568144,-15.428070431217433,0.03367880000000003
15,2.7399999999999998,33.06184950549516,-17.968083164581532,0.03309000000000003
16,2.84,31.504266719204193,-20.52400809235967,0.03253999999999998
17,2.94,29.966741870611713,-23.089147454866737,0.03193879999999999
18,3.04,28.451059145028665,-25.65700730258671,0.031234400000000006
19,3.1399999999999997,26.958830403164825,-28.221359959960754,0.03098319999999997
20,3.2399999999999998,25.491491013191876,-30.776297241274587,0.030133200000000023
21,3.34,24.05029852960516,-33.31627390261171,0.02998440000000001
22,3.44,22.63633398452653,-35.8361412005481,0.029487199999999998
23,3.54,21.25050550713324,-38.331170771999545,0.029160399999999993
24,3.6399999999999997,19.893553954134166,-40.7970693380113,0.029083599999999998
25,3.7399999999999998,18.566060217669218,-43.229984960551924,0.027846400000000018
26,3.84,17.26845387492286,-45.62650574392813,0.02802600000000003
27,3.94,16.001022853846003,-47.98365197393396,0.0263608
28,4.04,14.763923809143519,-50.298862734151705,0.02706919999999999
29,4.14,13.557192929535647,-52.56997803791822,0.02649239999999997
30,4.24,12.380756928807173,-54.79521747542917,0.025603200000000027
31,4.34,11.234444007142088,-56.97315630757263,0.02554360000000002
32,4.4399999999999995,10.117994603859108,-59.10269985021642,0.0253112
33,4.54,9.031071796440632,-61.18305689275466,0.024458000000000004
34,4.64,7.973271232570364,-63.213712789503866,0.023900800000000007
35,4.74,6.944130510993234,-65.19440275746607,0.023853599999999992
36,4.84,5.943137952911649,-67.12508581319433,0.022956400000000005
37,4.9399999999999995,4.969740728110309,-69.00591968794795,0.022575200000000014
38,5.04,4.023352319033337,-70.83723697589512,0.021984800000000013
39,5.14,3.103359321743375,-72.6195226958271,0.02130359999999998
40,5.239999999999999,2.20912759530029,-74.35339338299828,0.021329600000000025
41,5.34,1.34000778089971,-76.0395777740944,0.021168800000000005
42,5.4399999999999995,0.49534021943608186,-77.67889910437479,0.020354399999999995
43,5.54,-0.3255406986592987,-79.27225900090849,0.01999760000000001
44,5.64,-1.1233027140754264,-80.82062292857307,0.019315199999999994
45,5.739999999999999,-1.8986123706588491,-82.32500712509392,0.0194676
46,5.84,-2.652132139037263,-83.78646694686515,0.019027200000000008
47,5.9399999999999995,-3.3845179523097566,-85.20608653765275,0.018521999999999997
48,6.04,-4.096417115287687,-86.58496972665405,0.01833280000000002
49,6.14,-4.788466550313588,-87.92423205998122,0.017507200000000025
50,6.239999999999999,-5.461291344610202,-89.22499386975976,0.017412000000000004
51,6.34,-6.115503566285406,-90.48837428708309,0.017477200000000002
52,6.4399999999999995,-6.751701318436933,-91.71548610854204,0.01697240000000003
53,6.54,-7.370468003178706,-92.90743143053139,0.016781200000000007
54,6.64,-7.9723717697837335,-94.06529797068312,0.016512800000000008
55,6.739999999999999,-8.557965123458223,-95.19015600131671,0.016387999999999996
56,6.84,-9.127784673492224,-96.28305582551019,0.016455199999999993
57,6.9399999999999995,-9.68235100164815,-97.34502573212042,0.01587760000000002
58,7.04,-10.22216863363612,-98.37707037169075,0.015156800000000014
59,7.14,-10.747726098372057,-99.38016950058703,0.015458399999999999
60,7.239999999999999,-11.259496061420146,-100.3552770458391,0.015432399999999995
61,7.1899999999999995,-11.005305590699665,-99.87116362938329,0.015361600000000019
62,7.09,-10.486699975531504,-98.88217789019815,0.016011600000000008
63,6.989999999999999,-9.954072497913545,-97.86472687963979,0.015747600000000018
64,6.89,-9.406942581435091,-96.81784365743748,0.016532799999999997
65,6.79,-8.844813711126589,-95.74053588425336,0.01640560000000001
66,6.6899999999999995,-8.267173335510632,-94.63178691156264,0.016812799999999996
67,6.59,-7.673492849432118,-93.49055721537718,0.016719199999999997
68,6.489999999999999,-7.063227672101225,-92.31578622386724,0.017387599999999993
69,6.39,-6.435817436558893,-91.10639459421121,0.017015199999999994
70,6.29,-5.7906863086927665,-89.86128699951978,0.017601599999999995
71,6.1899999999999995,-5.127243455984848,-88.57935549236052,0.018176400000000013
72,6.09,-4.444883688347986,-87.25948351714662,0.017807600000000007
73,5.989999999999999,-3.7429882956871294,-85.90055064930384,0.01844080000000001
74,5.89,-3.020926109173072,-84.5014381445042,0.018502800000000014
75,5.79,-2.278054815598756,-83.06103538610897,0.019075600000000005
76,5.6899999999999995,-1.5137225565456904,-81.5782473229906,0.019478799999999973
77,5.59,-0.7272698463455323,-80.05200299272586,0.020021200000000027
78,5.489999999999999,0.08196815511418067,-78.4812652263064,0.020544
79,5.39,0.914658976938882,-76.86504162945339,0.020422000000000003
80,5.29,1.7714697400340764,-75.20239693169836,0.021152799999999982
